Î±,K,network,diversity,stability,biomass
0.92,0.1,1.0,1.0,-0.0004928315337910448,0.10563282730818538
0.92,0.16681005372000587,1.0,1.0,-0.0004890988331535844,0.17620576011399985
0.92,0.2782559402207124,1.0,0.7942645661479353,-0.0003834730424462381,0.29397936526166996
0.92,0.4641588833612779,1.0,0.7463018736349198,-0.0003806777632576346,0.48887198858818803
0.92,0.7742636826811271,1.0,0.9999999999999999,-0.0004822215904918777,0.8178753321043298
0.92,1.2915496650148839,1.0,0.964897097433389,-0.0007772758692348128,1.0517101472635395
0.92,2.154434690031884,1.0,0.9934872985506961,-0.0016924118143741551,1.277009004107205
0.92,3.5938136638046276,1.0,0.9994603434837367,-0.0032031144718244363,1.444708746209227
0.92,5.99484250318941,1.0,0.9998982874378499,-0.005347855249960773,1.5619264404238349
0.92,10.0,1.0,0.9991494867909368,-0.009352753833067403,1.639522520767812
1.0,0.1,1.0,0.8969361645209158,-0.0004994566005989701,0.09999876480401326
1.0,0.16681005372000587,1.0,0.8261311156946457,-0.0004952508725360234,0.16680852168853705
1.0,0.2782559402207124,1.0,0.3067712077576673,-0.0005123491268427155,0.27825306530649807
1.0,0.4641588833612779,1.0,0.1824768881649498,-0.0005449170684605527,0.4641521748818089
1.0,0.7742636826811271,1.0,0.5499226815099898,-0.0005144799243633548,0.7742553543191215
1.0,1.2915496650148839,1.0,0.9648972901996425,-0.0007773911956695424,1.0517049205905626
1.0,2.154434690031884,1.0,0.993491196849367,-0.001723288459284945,1.2769685494816938
1.0,3.5938136638046276,1.0,0.9994600370439806,-0.002875012715092583,1.4448102628590227
1.0,5.99484250318941,1.0,0.9998991984305958,-0.00536530637502676,1.5619054184817645
1.0,10.0,1.0,0.9991501176006258,-0.009315398136762656,1.639592488533421
1.08,0.1,1.0,NaN,-0.000847194100096149,0.09999751684696775
1.08,0.16681005372000587,1.0,NaN,-0.000843708736370328,0.16680591971089948
1.08,0.2782559402207124,1.0,NaN,-0.0008404775765598828,0.27824872426704916
1.08,0.4641588833612779,1.0,NaN,-0.0008432986707546095,0.4641459452370717
1.08,0.7742636826811271,1.0,NaN,-0.0008403603806227015,0.774244056462445
1.08,1.2915496650148839,1.0,0.9648937780354517,-0.0007708809571193218,1.051715312989617
1.08,2.154434690031884,1.0,0.9934893679112525,-0.0016855275314030223,1.2769688010179165
1.08,3.5938136638046276,1.0,0.9994599666296283,-0.002930004340750684,1.4447945380668261
1.08,5.99484250318941,1.0,0.9998991915509158,-0.005352587952765183,1.5619111777636097
1.08,10.0,1.0,0.9991463150544232,-0.009361723283200332,1.6392918278753847
0.92,0.1,2.0,0.9999999999999999,-0.0004938458625667315,0.10563264954946121
0.92,0.16681005372000587,2.0,1.0,-0.0004893284530413013,0.17620603961004294
0.92,0.2782559402207124,2.0,0.9999999999999999,-0.0004841242212570921,0.29392963948209505
0.92,0.4641588833612779,2.0,1.0,-0.0004174130241833002,0.49378204473020365
0.92,0.7742636826811271,2.0,1.0,-0.0004166617342574772,0.8236787267711788
0.92,1.2915496650148839,2.0,0.9999999999999999,-0.00048059257951528755,1.3642998236773762
0.92,2.154434690031884,2.0,0.7558721410046678,-0.00038781376614779997,2.270453972352271
0.92,3.5938136638046276,2.0,0.4980511791025368,-0.005349523460713185,3.7317774947134192
0.92,5.99484250318941,2.0,0.3596265378072147,-0.05960624427355156,6.142622030308517
0.92,10.0,2.0,0.2412474567766008,-0.4522352019719831,10.153788288151778
1.0,0.1,2.0,0.7579684732011595,-0.0005117084116585397,0.09999876554390556
1.0,0.16681005372000587,2.0,0.7587259985439561,-0.0005029205931054837,0.16680857687589884
1.0,0.2782559402207124,2.0,0.565840946050677,-0.0005235071221936433,0.27825330383046626
1.0,0.4641588833612779,2.0,0.2950278860529817,-0.0005574124071071048,0.46415263224559183
1.0,0.7742636826811271,2.0,0.10019517274766525,-0.0005284807552874683,0.7742548483934727
1.0,1.2915496650148839,2.0,0.3714132717537949,-0.0004887204212593862,1.291535301802319
1.0,2.154434690031884,2.0,0.04918095320406303,-0.0006002766586101975,2.1544068276720094
1.0,3.5938136638046276,2.0,0.08918363870613247,-0.0005938303090012281,3.5937546125527122
1.0,5.99484250318941,2.0,0.17291836067903144,-0.00048135064866167425,5.994784075594134
1.0,10.0,2.0,0.11926929280449805,-0.0004677747934099836,9.99994400170742
1.08,0.1,2.0,NaN,-0.0007959121308781943,0.099997362906643
1.08,0.16681005372000587,2.0,NaN,-0.0007946633897479757,0.16680611988716587
1.08,0.2782559402207124,2.0,NaN,-0.0008417580932600649,0.2782491122203469
1.08,0.4641588833612779,2.0,NaN,-0.0007933660120729545,0.46414709751496264
1.08,0.7742636826811271,2.0,NaN,-0.000790394151541044,0.7742450779038523
1.08,1.2915496650148839,2.0,NaN,-0.0008420789225612328,1.2915138729280122
1.08,2.154434690031884,2.0,NaN,-0.0008417407157588012,2.154375360089008
1.08,3.5938136638046276,2.0,NaN,-0.0007899793438980609,3.593729068067021
1.08,5.99484250318941,2.0,NaN,-0.0007915704882545352,5.994705339285975
1.08,10.0,2.0,NaN,-0.000841155512704889,9.999732171666338
0.92,0.1,3.0,1.0,-0.00035680906683303724,0.10714216759611814
0.92,0.16681005372000587,3.0,1.0,-0.00032438289282829677,0.1790894246796547
0.92,0.2782559402207124,3.0,1.0,-0.00033688268351700774,0.2981302752344547
0.92,0.4641588833612779,3.0,1.0,-0.0003414732372475321,0.49730983870652945
0.92,0.7742636826811271,3.0,1.0,-0.00034026802618170195,0.8295632574349551
0.92,1.2915496650148839,3.0,0.7475843221634942,-0.000302520459502773,1.3782116803995776
0.92,2.154434690031884,3.0,0.7872444671876442,-0.0007187749205561122,2.297807110446868
0.92,3.5938136638046276,3.0,0.9870103096976606,-0.004423736791149512,3.20302170081031
0.92,5.99484250318941,3.0,0.43004996432944187,-0.4053372972860756,6.201659757065948
0.92,10.0,3.0,0.9999748596870405,-0.0048140461531782286,2.8615942699003414
1.0,0.1,3.0,0.5962137027801112,-0.00044848315182185913,0.09999915295938294
1.0,0.16681005372000587,3.0,0.05669320920441713,-0.000670486101089528,0.16680754946607076
1.0,0.2782559402207124,3.0,0.6685492848028436,-0.00039049238860617034,0.27825523978430716
1.0,0.4641588833612779,3.0,0.5443291909458448,-0.0003853749572509083,0.4641558032426876
1.0,0.7742636826811271,3.0,0.6369846801100271,-0.0003759409705935255,0.7742579611475362
1.0,1.2915496650148839,3.0,0.532149557596105,-0.00041148001156681476,1.2915433856068055
1.0,2.154434690031884,3.0,0.45778021552285697,-0.8486501711979547,2.18301114353713
1.0,3.5938136638046276,3.0,0.14314911985973516,-0.00044268547467315403,3.5937811208612587
1.0,5.99484250318941,3.0,0.03243884565819521,-0.0005809223796736896,5.99478003470459
1.0,10.0,3.0,0.9999755041679592,-0.0048285883509506695,2.861502228225953
1.08,0.1,3.0,NaN,-0.0007962422667828947,0.09999741259017968
1.08,0.16681005372000587,3.0,NaN,-0.0007961552322310498,0.1668064331419144
1.08,0.2782559402207124,3.0,NaN,-0.000794180338993458,0.2782497325692406
1.08,0.4641588833612779,3.0,NaN,-0.0007931897422320975,0.4641489205806154
1.08,0.7742636826811271,3.0,NaN,-0.0007923545034156781,0.7742468796051368
1.08,1.2915496650148839,3.0,NaN,-0.0008419213377728987,1.2915143036263526
1.08,2.154434690031884,3.0,NaN,-0.0008382737234740226,2.154379825359322
1.08,3.5938136638046276,3.0,0.9495789080568235,-0.038103207795217024,3.0381911920496716
1.08,5.99484250318941,3.0,0.8481013916361809,-0.5283599968845585,3.556550613804184
1.08,10.0,3.0,0.9286717990300083,-0.08494104845483819,4.7405584719333325
0.92,0.1,4.0,0.9999999999999982,-0.00029894896362727774,0.10765505221134251
0.92,0.16681005372000587,4.0,0.9999999999999952,-0.0002896678639102776,0.17957942792050058
0.92,0.2782559402207124,4.0,0.9999999999999827,-0.00030073048216798086,0.2991988351829411
0.92,0.4641588833612779,4.0,0.9999999999999839,-0.00028003832579335603,0.49969033526658063
0.92,0.7742636826811271,4.0,0.9120047181003563,-0.0009902824973548894,0.833686920668663
0.92,1.2915496650148839,4.0,0.9405710743502378,-0.12969469804080383,1.4271637472764824
0.92,2.154434690031884,4.0,0.8813220343691409,-0.6448605540383672,2.085122355225692
0.92,3.5938136638046276,4.0,0.8296873048158521,-0.7544184827549345,2.629941909066656
0.92,5.99484250318941,4.0,0.7735109614244903,-0.8739147042409222,3.038459650234545
0.92,10.0,4.0,0.8405434860567925,-0.02165881037493509,2.0757873002542473
1.0,0.1,4.0,0.723563131191021,-0.00034983254266442946,0.09999942185410184
1.0,0.16681005372000587,4.0,0.7265165271023527,-0.0003227984431013871,0.16680927017051425
1.0,0.2782559402207124,4.0,0.6945937844455883,-0.0003249864129634333,0.2782546598190694
1.0,0.4641588833612779,4.0,0.8422270710891123,-0.0002914094433850323,0.46415681957855953
1.0,0.7742636826811271,4.0,0.8071308167204935,-0.0003044592209141722,0.7742608463262695
1.0,1.2915496650148839,4.0,0.7859819081614331,-0.6150978249718052,1.3045088901256519
1.0,2.154434690031884,4.0,0.5391281726515815,-0.67563580587483,2.1074937796044204
1.0,3.5938136638046276,4.0,0.7574888246482762,-0.7967509379033502,2.56478003165624
1.0,5.99484250318941,4.0,0.7284855401749396,-0.9017994239240869,3.0039955720810165
1.0,10.0,4.0,0.7279730599979665,-0.005455868886933409,2.0640950438736994
1.08,0.1,4.0,NaN,-0.0007962314927375162,0.09999741007757003
1.08,0.16681005372000587,4.0,NaN,-0.0007960768627487928,0.16680640786934597
1.08,0.2782559402207124,4.0,NaN,-0.0008427553232726036,0.2782487063920762
1.08,0.4641588833612779,4.0,NaN,-0.0007926739263063774,0.4641485707695846
1.08,0.7742636826811271,4.0,NaN,-0.0007900396445696803,0.7742447204869789
1.08,1.2915496650148839,4.0,NaN,-0.0008419590054209511,1.291514197646257
1.08,2.154434690031884,4.0,0.6873390515600637,-0.8381849427167649,1.966785912264022
1.08,3.5938136638046276,4.0,0.7565142526747561,-0.8042640054357058,2.525947687573711
1.08,5.99484250318941,4.0,0.738672342752256,-0.8764208814322787,2.9814358938676584
1.08,10.0,4.0,0.48821688095667465,-0.2835878210756518,2.064152186270747
0.92,0.1,5.0,1.0,-0.00038762257518516416,0.10683683916155501
0.92,0.16681005372000587,5.0,1.0,-0.00038129990438966904,0.1782148056436158
0.92,0.2782559402207124,5.0,1.0,-0.00037711810647458107,0.29728024487024446
0.92,0.4641588833612779,5.0,1.0,-0.0003754240549771379,0.49589293856638067
0.92,0.7742636826811271,5.0,0.8760700738603415,-0.0011530512259492192,0.8264357492432569
0.92,1.2915496650148839,5.0,0.7860557269156446,-0.00031122070412625743,1.376051995880059
0.92,2.154434690031884,5.0,0.9939351267268233,-0.0002926812431299279,2.300407627878341
0.92,3.5938136638046276,5.0,0.9613735013380897,-0.003096307166386162,2.6843858496129593
0.92,5.99484250318941,5.0,0.9163835105220902,-0.11358211663700626,3.144680448633496
0.92,10.0,5.0,0.6907979185822618,-0.9250977415898175,4.351933905813622
1.0,0.1,5.0,0.6024721047674949,-0.00042925130762336874,0.09999917360382926
1.0,0.16681005372000587,5.0,0.8489183080903332,-0.0004242980045137651,0.16680868979677296
1.0,0.2782559402207124,5.0,0.4138875740455714,-0.0004820045522915847,0.2782534213124626
1.0,0.4641588833612779,5.0,0.44742868731074276,-0.0005295392016194048,0.46415341669144083
1.0,0.7742636826811271,5.0,0.7720870944482363,-0.0004056945295141022,0.7742597182997168
1.0,1.2915496650148839,5.0,0.8088177192016578,-0.000374835395960991,1.291541910085824
1.0,2.154434690031884,5.0,0.8915975590974458,-0.005660705984779563,2.0233103571958364
1.0,3.5938136638046276,5.0,0.8901132526221995,-0.002899238829501432,2.61759417169708
1.0,5.99484250318941,5.0,0.9083699089588279,-0.033408849191982254,3.0818006495495256
1.0,10.0,5.0,0.6008010729716599,-0.006469809441626161,6.9422132468184445
1.08,0.1,5.0,NaN,-0.000798357626953348,0.09999768414728785
1.08,0.16681005372000587,5.0,NaN,-0.0007960779656281973,0.16680638741974602
1.08,0.2782559402207124,5.0,NaN,-0.0007942253336085363,0.2782493804367067
1.08,0.4641588833612779,5.0,NaN,-0.0007927091957216785,0.46414859145608767
1.08,0.7742636826811271,5.0,NaN,-0.0007924483253979286,0.774246840058657
1.08,1.2915496650148839,5.0,NaN,-0.0008420924560967094,1.2915138355362812
1.08,2.154434690031884,5.0,0.49628844290118873,-1.052364519606452,2.1131584379350126
1.08,3.5938136638046276,5.0,0.8341203206001762,-0.001808366162361474,3.0178416915493593
1.08,5.99484250318941,5.0,0.8168878553984714,-0.04105925030464968,3.03338192719685
1.08,10.0,5.0,0.5946639824439471,-0.8295031209492805,4.122037327138227
